V1,V2,V3,V4,V5,V6,time,V7,V8,V9,V10
,,,20152102062100-389,2,5/2/2015 7:34,1430577240,C7,364500,1430941740,5/6/2015 12:49
,,,20155403055431-257,3,5/3/2015 18:43,1430703780,C7,74400,1430778180,5/4/2015 15:23
20155403055431-257,3,5/3/2015 18:43,1430703780,C7,74400,1430778180,5/4/2015 15:23,,,
,,,20150905090932-101,2,5/5/2015 9:49,1430844540,C7,351720,1431196260,5/9/2015 11:31
20152102062100-389,2,5/2/2015 7:34,1430577240,C7,364500,1430941740,5/6/2015 12:49,,,
,,,20151006031050-832,1,5/6/2015 15:26,1430951160,C7,683640,1431634800,5/14/2015 13:20
,,,20153507023544-222,1,5/7/2015 14:56,1431035760,C7,186840,1431222600,5/9/2015 18:50
20150905090932-101,2,5/5/2015 9:49,1430844540,C7,351720,1431196260,5/9/2015 11:31,,,
,,,20152309042350-396,2,5/9/2015 17:00,1431216000,C7,102720,1431318720,5/10/2015 21:32
20153507023544-222,1,5/7/2015 14:56,1431035760,C7,186840,1431222600,5/9/2015 18:50,,,
20152309042350-396,2,5/9/2015 17:00,1431216000,C7,102720,1431318720,5/10/2015 21:32,,,
,,,20155911075946-694,2,5/11/2015 8:36,1431358560,C7,193980,1431552540,5/13/2015 14:29
,,,20153912113932-996,2,5/12/2015 11:54,1431456840,C7,123660,1431580500,5/13/2015 22:15
,,,20151812011836-943,1,5/12/2015 14:20,1431465600,C7,257040,1431722640,5/15/2015 13:44
,,,20155812035804-861,1,5/12/2015 16:15,1431472500,C7,524280,1431996780,5/18/2015 17:53
,,,20151613111653-93,1,5/13/2015 12:17,1431544620,C7,461880,1432006500,5/18/2015 20:35
20155911075946-694,2,5/11/2015 8:36,1431358560,C7,193980,1431552540,5/13/2015 14:29,,,
20153912113932-996,2,5/12/2015 11:54,1431456840,C7,123660,1431580500,5/13/2015 22:15,,,
20151006031050-832,1,5/6/2015 15:26,1430951160,C7,683640,1431634800,5/14/2015 13:20,,,
,,,20151415091432-219,2,5/15/2015 10:28,1431710880,C7,127980,1431838860,5/16/2015 22:01
20151812011836-943,1,5/12/2015 14:20,1431465600,C7,257040,1431722640,5/15/2015 13:44,,,
20151415091432-219,2,5/15/2015 10:28,1431710880,C7,127980,1431838860,5/16/2015 22:01,,,
20155812035804-861,1,5/12/2015 16:15,1431472500,C7,524280,1431996780,5/18/2015 17:53,,,
20151613111653-93,1,5/13/2015 12:17,1431544620,C7,461880,1432006500,5/18/2015 20:35,,,
,,,20155520035557-954,1,5/20/2015 17:09,1432166940,C7,585120,1432752060,5/27/2015 11:41
,,,20154423124442-224,2,5/23/2015 13:24,1432412640,C7,623220,1433035860,5/30/2015 18:31
,,,20151924061922-35,1,5/24/2015 6:35,1432474500,C7,225000,1432699500,5/26/2015 21:05
,,,20154824104802-646,3,5/24/2015 11:37,1432492620,C7,350400,1432843020,5/28/2015 12:57
,,,20152924102954-975,1,5/24/2015 11:44,1432493040,C7,1071720,1433564760,6/5/2015 21:26
,,,20153226123245-963,1,5/26/2015 12:46,1432669560,C7,520500,1433190060,6/1/2015 13:21
,,,20151026031053-559,1,5/26/2015 15:59,1432681140,C7,103800,1432784940,5/27/2015 20:49
20151924061922-35,1,5/24/2015 6:35,1432474500,C7,225000,1432699500,5/26/2015 21:05,,,
,,,20153227063240-542,1,5/27/2015 6:56,1432734960,C7,522960,1433257920,6/2/2015 8:12
20155520035557-954,1,5/20/2015 17:09,1432166940,C7,585120,1432752060,5/27/2015 11:41,,,
20151026031053-559,1,5/26/2015 15:59,1432681140,C7,103800,1432784940,5/27/2015 20:49,,,
20154824104802-646,3,5/24/2015 11:37,1432492620,C7,350400,1432843020,5/28/2015 12:57,,,
,,,20154729084718-7,2,5/29/2015 9:53,1432918380,C7,210960,1433129340,5/31/2015 20:29
,,,20155930075904-615,2,5/30/2015 8:12,1432998720,C7,84300,1433083020,5/31/2015 7:37
20154423124442-224,2,5/23/2015 13:24,1432412640,C7,623220,1433035860,5/30/2015 18:31,,,
20155930075904-615,2,5/30/2015 8:12,1432998720,C7,84300,1433083020,5/31/2015 7:37,,,
,,,20152731112735-564,1,5/31/2015 11:42,1433097720,C7,350760,1433448480,6/4/2015 13:08
20154729084718-7,2,5/29/2015 9:53,1432918380,C7,210960,1433129340,5/31/2015 20:29,,,
20153226123245-963,1,5/26/2015 12:46,1432669560,C7,520500,1433190060,6/1/2015 13:21,,,
,,,20151201031215-712,1,6/1/2015 15:37,1433198220,C7,73920,1433272140,6/2/2015 12:09
,,,20151601031653-102,1,6/1/2015 15:38,1433198280,C7,85620,1433283900,6/2/2015 15:25
,,,20155202065231-630,1,6/2/2015 7:14,1433254440,C7,530040,1433784480,6/8/2015 10:28
20153227063240-542,1,5/27/2015 6:56,1432734960,C7,522960,1433257920,6/2/2015 8:12,,,
20151201031215-712,1,6/1/2015 15:37,1433198220,C7,73920,1433272140,6/2/2015 12:09,,,
,,,20153002123026-8,3,6/2/2015 13:30,1433277000,C7,248400,1433525400,6/5/2015 10:30
20151601031653-102,1,6/1/2015 15:38,1433198280,C7,85620,1433283900,6/2/2015 15:25,,,
,,,20153403093425-594,1,6/3/2015 10:29,1433352540,C7,97920,1433450460,6/4/2015 13:41
,,,20151303111300-96,1,6/3/2015 11:45,1433357100,C7,286020,1433643120,6/6/2015 19:12
,,,20154203044240-260,1,6/3/2015 17:18,1433377080,C7,612420,1433989500,6/10/2015 19:25
,,,20152504072503-198,2,6/4/2015 7:44,1433429040,C7,280620,1433709660,6/7/2015 13:41
,,,20155804095839-242,3,6/4/2015 10:59,1433440740,C7,106140,1433546880,6/5/2015 16:28
20152731112735-564,1,5/31/2015 11:42,1433097720,C7,350760,1433448480,6/4/2015 13:08,,,
,,,20152004012053-387,2,6/4/2015 13:34,1433450040,C7,250020,1433700060,6/7/2015 11:01
20153403093425-594,1,6/3/2015 10:29,1433352540,C7,97920,1433450460,6/4/2015 13:41,,,
,,,20151904021905-805,1,6/4/2015 15:30,1433457000,C7,1035600,1434492600,6/16/2015 15:10
,,,20150804030847-490,1,6/4/2015 16:01,1433458860,C7,245040,1433703900,6/7/2015 12:05
,,,20153504043512-341,3,6/4/2015 17:00,1433462400,C7,142860,1433605260,6/6/2015 8:41
,,,20153104043113-656,2,6/4/2015 17:42,1433464920,C7,50940,1433515860,6/5/2015 7:51
,,,20155904055905-326,2,6/4/2015 18:31,1433467860,C7,170040,1433637900,6/6/2015 17:45
20153104043113-656,2,6/4/2015 17:42,1433464920,C7,50940,1433515860,6/5/2015 7:51,,,
,,,20152305092355-533,2,6/5/2015 9:38,1433522280,C7,392580,1433914860,6/9/2015 22:41
20153002123026-8,3,6/2/2015 13:30,1433277000,C7,248400,1433525400,6/5/2015 10:30,,,
,,,20151905031957-601,1,6/5/2015 15:40,1433544000,C7,320940,1433864940,6/9/2015 8:49
,,,20152905032910-293,1,6/5/2015 15:49,1433544540,C7,715440,1434259980,6/13/2015 22:33
20155804095839-242,3,6/4/2015 10:59,1433440740,C7,106140,1433546880,6/5/2015 16:28,,,
,,,20155205045211-58,1,6/5/2015 17:28,1433550480,C7,102720,1433653200,6/6/2015 22:00
20152924102954-975,1,5/24/2015 11:44,1432493040,C7,1071720,1433564760,6/5/2015 21:26,,,
20153504043512-341,3,6/4/2015 17:00,1433462400,C7,142860,1433605260,6/6/2015 8:41,,,
,,,20154606094659-402,1,6/6/2015 10:09,1433610540,C7,88140,1433698680,6/7/2015 10:38
,,,20152206102254-44,2,6/6/2015 10:39,1433612340,C7,520260,1434132600,6/12/2015 11:10
,,,20154506114531-504,3,6/6/2015 12:11,1433617860,C7,70560,1433688420,6/7/2015 7:47
,,,20153906123947-442,1,6/6/2015 13:35,1433622900,C7,240960,1433863860,6/9/2015 8:31
,,,20151506031529-885,3,6/6/2015 15:55,1433631300,C7,155220,1433786520,6/8/2015 11:02
20155904055905-326,2,6/4/2015 18:31,1433467860,C7,170040,1433637900,6/6/2015 17:45,,,
20151303111300-96,1,6/3/2015 11:45,1433357100,C7,286020,1433643120,6/6/2015 19:12,,,
20155205045211-58,1,6/5/2015 17:28,1433550480,C7,102720,1433653200,6/6/2015 22:00,,,
20154506114531-504,3,6/6/2015 12:11,1433617860,C7,70560,1433688420,6/7/2015 7:47,,,
,,,20155507095534-53,3,6/7/2015 10:27,1433698020,C7,187380,1433885400,6/9/2015 14:30
20154606094659-402,1,6/6/2015 10:09,1433610540,C7,88140,1433698680,6/7/2015 10:38,,,
20152004012053-387,2,6/4/2015 13:34,1433450040,C7,250020,1433700060,6/7/2015 11:01,,,
20150804030847-490,1,6/4/2015 16:01,1433458860,C7,245040,1433703900,6/7/2015 12:05,,,
,,,20154307124353-199,1,6/7/2015 13:34,1433709240,C7,844680,1434553920,6/17/2015 8:12
20152504072503-198,2,6/4/2015 7:44,1433429040,C7,280620,1433709660,6/7/2015 13:41,,,
,,,20150008060003-21,1,6/8/2015 6:49,1433771340,C7,293160,1434064500,6/11/2015 16:15
,,,20152008082056-988,1,6/8/2015 8:36,1433777760,C7,310500,1434088260,6/11/2015 22:51
,,,20153208083240-926,3,6/8/2015 8:53,1433778780,C7,1485720,1435264500,6/25/2015 13:35
20155202065231-630,1,6/2/2015 7:14,1433254440,C7,530040,1433784480,6/8/2015 10:28,,,
20151506031529-885,3,6/6/2015 15:55,1433631300,C7,155220,1433786520,6/8/2015 11:02,,,
,,,20153808123846-946,2,6/8/2015 13:11,1433794260,C7,250440,1434044700,6/11/2015 10:45
,,,20151008121044-244,1,6/8/2015 13:13,1433794380,C7,529320,1434323700,6/14/2015 16:15
,,,20155608015646-673,1,6/8/2015 15:03,1433800980,C7,231720,1434032700,6/11/2015 7:25
,,,20150108040141-642,1,6/8/2015 16:15,1433805300,C7,186000,1433991300,6/10/2015 19:55
,,,20154508054512-557,1,6/8/2015 18:00,1433811600,C7,502080,1434313680,6/14/2015 13:28
,,,20155409065419-204,3,6/9/2015 7:16,1433859360,C7,273660,1434133020,6/12/2015 11:17
20153906123947-442,1,6/6/2015 13:35,1433622900,C7,240960,1433863860,6/9/2015 8:31,,,
20151905031957-601,1,6/5/2015 15:40,1433544000,C7,320940,1433864940,6/9/2015 8:49,,,
,,,20152209122210-562,1,6/9/2015 12:39,1433878740,C7,170280,1434049020,6/11/2015 11:57
,,,20153509013553-476,3,6/9/2015 14:08,1433884080,C7,93900,1433977980,6/10/2015 16:13
,,,20154509014559-37,1,6/9/2015 14:11,1433884260,C7,204120,1434088380,6/11/2015 22:53
20155507095534-53,3,6/7/2015 10:27,1433698020,C7,187380,1433885400,6/9/2015 14:30,,,
20152305092355-533,2,6/5/2015 9:38,1433522280,C7,392580,1433914860,6/9/2015 22:41,,,
,,,20154210104209-855,1,6/10/2015 11:15,1433960100,C7,197520,1434157620,6/12/2015 18:07
20153509013553-476,3,6/9/2015 14:08,1433884080,C7,93900,1433977980,6/10/2015 16:13,,,
,,,20151910041931-214,3,6/10/2015 16:36,1433979360,C7,97920,1434077280,6/11/2015 19:48
,,,20150610040636-776,2,6/10/2015 17:19,1433981940,C7,248640,1434230580,6/13/2015 14:23
20154203044240-260,1,6/3/2015 17:18,1433377080,C7,612420,1433989500,6/10/2015 19:25,,,
20150108040141-642,1,6/8/2015 16:15,1433805300,C7,186000,1433991300,6/10/2015 19:55,,,
20155608015646-673,1,6/8/2015 15:03,1433800980,C7,231720,1434032700,6/11/2015 7:25,,,
20153808123846-946,2,6/8/2015 13:11,1433794260,C7,250440,1434044700,6/11/2015 10:45,,,
20152209122210-562,1,6/9/2015 12:39,1433878740,C7,170280,1434049020,6/11/2015 11:57,,,
20150008060003-21,1,6/8/2015 6:49,1433771340,C7,293160,1434064500,6/11/2015 16:15,,,
20151910041931-214,3,6/10/2015 16:36,1433979360,C7,97920,1434077280,6/11/2015 19:48,,,
20152008082056-988,1,6/8/2015 8:36,1433777760,C7,310500,1434088260,6/11/2015 22:51,,,
20154509014559-37,1,6/9/2015 14:11,1433884260,C7,204120,1434088380,6/11/2015 22:53,,,
,,,20151012091054-963,2,6/12/2015 9:31,1434126660,C7,604980,1434731640,6/19/2015 9:34
20152206102254-44,2,6/6/2015 10:39,1433612340,C7,520260,1434132600,6/12/2015 11:10,,,
20155409065419-204,3,6/9/2015 7:16,1433859360,C7,273660,1434133020,6/12/2015 11:17,,,
,,,20154612114650-326,1,6/12/2015 12:09,1434136140,C7,523980,1434660120,6/18/2015 13:42
20154210104209-855,1,6/10/2015 11:15,1433960100,C7,197520,1434157620,6/12/2015 18:07,,,
,,,20152913122916-642,2,6/13/2015 12:46,1434224760,C7,96840,1434321600,6/14/2015 15:40
20150610040636-776,2,6/10/2015 17:19,1433981940,C7,248640,1434230580,6/13/2015 14:23,,,
,,,20155913025927-438,3,6/13/2015 15:16,1434233760,C7,69060,1434302820,6/14/2015 10:27
,,,20154913024913-440,2,6/13/2015 15:27,1434234420,C7,59700,1434294120,6/14/2015 8:02
,,,20155413045417-828,2,6/13/2015 17:08,1434240480,C7,85440,1434325920,6/14/2015 16:52
20152905032910-293,1,6/5/2015 15:49,1433544540,C7,715440,1434259980,6/13/2015 22:33,,,
20154913024913-440,2,6/13/2015 15:27,1434234420,C7,59700,1434294120,6/14/2015 8:02,,,
,,,20155314075350-327,1,6/14/2015 8:17,1434295020,C7,119100,1434414120,6/15/2015 17:22
20155913025927-438,3,6/13/2015 15:16,1434233760,C7,69060,1434302820,6/14/2015 10:27,,,
,,,20155214125258-653,1,6/14/2015 13:12,1434312720,C7,66060,1434378780,6/15/2015 7:33
20154508054512-557,1,6/8/2015 18:00,1433811600,C7,502080,1434313680,6/14/2015 13:28,,,
,,,20152414012455-891,1,6/14/2015 13:48,1434314880,C7,441060,1434755940,6/19/2015 16:19
,,,20154714024730-244,1,6/14/2015 15:22,1434320520,C7,282420,1434602940,6/17/2015 21:49
20152913122916-642,2,6/13/2015 12:46,1434224760,C7,96840,1434321600,6/14/2015 15:40,,,
20151008121044-244,1,6/8/2015 13:13,1433794380,C7,529320,1434323700,6/14/2015 16:15,,,
20155413045417-828,2,6/13/2015 17:08,1434240480,C7,85440,1434325920,6/14/2015 16:52,,,
,,,20153915063929-257,1,6/15/2015 6:55,1434376500,C7,139800,1434516300,6/16/2015 21:45
20155214125258-653,1,6/14/2015 13:12,1434312720,C7,66060,1434378780,6/15/2015 7:33,,,
,,,20152515082556-333,2,6/15/2015 9:28,1434385680,C7,161100,1434546780,6/17/2015 6:13
,,,20150215110234-930,2,6/15/2015 12:16,1434395760,C7,275700,1434671460,6/18/2015 16:51
,,,20155415015459-549,1,6/15/2015 14:30,1434403800,C7,857100,1435260900,6/25/2015 12:35
,,,20151215021211-822,1,6/15/2015 14:35,1434404100,C7,186900,1434591000,6/17/2015 18:30
,,,20152215022221-833,1,6/15/2015 14:43,1434404580,C7,973680,1435378260,6/26/2015 21:11
20155314075350-327,1,6/14/2015 8:17,1434295020,C7,119100,1434414120,6/15/2015 17:22,,,
,,,20151116081119-191,1,6/16/2015 9:15,1434471300,C7,104760,1434576060,6/17/2015 14:21
20151904021905-805,1,6/4/2015 15:30,1433457000,C7,1035600,1434492600,6/16/2015 15:10,,,
,,,20150716030750-947,1,6/16/2015 15:45,1434494700,C7,368100,1434862800,6/20/2015 22:00
20153915063929-257,1,6/15/2015 6:55,1434376500,C7,139800,1434516300,6/16/2015 21:45,,,
20152515082556-333,2,6/15/2015 9:28,1434385680,C7,161100,1434546780,6/17/2015 6:13,,,
20154307124353-199,1,6/7/2015 13:34,1433709240,C7,844680,1434553920,6/17/2015 8:12,,,
,,,20150417100406-907,3,6/17/2015 10:17,1434561420,C7,472500,1435033920,6/22/2015 21:32
,,,20153617093653-526,2,6/17/2015 10:39,1434562740,C7,177420,1434740160,6/19/2015 11:56
,,,20153717123759-246,1,6/17/2015 12:59,1434571140,C7,234600,1434805740,6/20/2015 6:09
