,car.id,car.type,startDatetime,startTimestamp,gate.name,duration,endTimestamp,endDatetime
5427,20153203033246-681,1,5/6/2015 6:12,1430917945,C0,75193,1430993138,5/7/2015 3:05
6384,20155101065139-549,1,5/9/2015 0:18,1431155939,C0,83455,1431239394,5/9/2015 23:29
4921,20153003023054-91,3,5/11/2015 8:11,1431357102,C0,83556,1431440658,5/12/2015 7:24
6124,20150104050128-43,2,5/11/2015 16:13,1431385984,C0,601896,1431987880,5/18/2015 15:24
122,20154911084948-971,3,5/15/2015 7:47,1431701241,C0,113951,1431815192,5/16/2015 15:26
6144,20152602012639-340,3,5/15/2015 11:47,1431715677,C0,372426,1432088103,5/19/2015 19:15
1630,20152209012245-920,2,5/15/2015 22:48,1431755307,C0,276171,1432031478,5/19/2015 3:31
6002,20155809125852-460,2,5/17/2015 20:17,1431919026,C0,358747,1432277773,5/21/2015 23:56
763,20154001044056-714,3,5/21/2015 21:23,1432268637,C0,249283,1432517920,5/24/2015 18:38
1143,20151319101335-59,2,5/22/2015 10:11,1432314701,C0,86362,1432401063,5/23/2015 10:11
6037,20152503032527-873,1,5/23/2015 3:09,1432375784,C0,240551,1432616335,5/25/2015 21:58
2956,20154913014902-715,2,5/25/2015 6:54,1432562098,C0,505978,1433068076,5/31/2015 3:27
4726,20155020055005-112,1,5/25/2015 17:19,1432599557,C0,53769,1432653326,5/26/2015 8:15
3844,20154410124411-337,1,5/26/2015 11:19,1432664355,C0,172163,1432836518,5/28/2015 11:08
6426,20153426063448-128,3,5/27/2015 11:37,1432751857,C0,104569,1432856426,5/28/2015 16:40
4783,20154823064844-637,2,5/27/2015 12:16,1432754192,C0,182634,1432936826,5/29/2015 15:00
5873,20153622123619-566,2,5/28/2015 3:10,1432807856,C0,69211,1432877067,5/28/2015 22:24
5980,20152625012610-60,1,6/1/2015 9:19,1433175599,C0,590029,1433765628,6/8/2015 5:13
2154,20151431111405-813,1,6/2/2015 1:49,1433234943,C0,69449,1433304392,6/2/2015 21:06
