time,gate,car.id,population,carType,duration
1430500740,C8,20155201095259-137,1,1,302820
1430593740,C8,20151902111913-640,2,3,602400
1430610180,C8,20152002042015-193,3,3,78780
1430670120,C8,20151503091545-22,4,1,679860
1430688960,C8,20152002042015-193,3,1,302820
1430768160,C8,20153604113610-711,4,3,589140
1430777280,C8,20150204020258-450,5,2,363720
1430803560,C8,20155201095259-137,4,3,602400
1430840880,C8,20152705082700-328,5,1,214200
1430945160,C8,20153906013912-384,6,2,1811580
1431014880,C8,20154407084406-55,7,3,428220
1431046080,C8,20151507051530-305,8,1,496320
1431055080,C8,20152705082700-328,7,3,78780
1431141000,C8,20150204020258-450,6,1,679860
1431185520,C8,20150309080352-837,7,2,300420
1431196140,C8,20151902111913-640,6,3,589140
1431205260,C8,20155509125554-329,7,2,145620
1431266760,C8,20155910065938-444,8,1,101700
1431349980,C8,20151503091545-22,7,2,363720
1431350880,C8,20155509125554-329,6,1,214200
1431351780,C8,20150911060947-468,7,3,273060
1431357300,C8,20153604113610-711,6,2,1811580
1431368460,C8,20155910065938-444,5,3,428220
1431369480,C8,20155411105423-23,6,2,162060
1431372780,C8,20152411112403-168,7,1,1043520
1431385560,C8,20152011032039-149,8,1,182340
1431443100,C8,20154407084406-55,7,1,496320
1431476340,C8,20151312051315-26,8,2,89580
1431485940,C8,20150309080352-837,7,2,300420
1431531540,C8,20155411105423-23,6,2,145620
1431542400,C8,20151507051530-305,5,1,101700
1431565920,C8,20151312051315-26,4,3,273060
1431567900,C8,20152011032039-149,3,2,162060
1431621780,C8,20153514093535-484,4,1,466620
1431624840,C8,20150911060947-468,3,1,1043520
1431703680,C8,20154215074223-266,4,1,114720
1431709200,C8,20150115090150-109,5,2,123840
1431818400,C8,20154215074223-266,4,1,182340
1431818520,C8,20153316033329-899,5,2,183360
1431833040,C8,20150115090150-109,4,2,89580
1431873960,C8,20155417065430-542,5,1,475260
1431874320,C8,20155417065446-3,6,3,123180
1431882120,C8,20155517095500-40,7,1,176940
1431900120,C8,20153817023856-742,8,2,74940
1431975060,C8,20153817023856-742,7,1,466620
1431997500,C8,20155417065446-3,6,1,114720
1432001880,C8,20153316033329-899,5,2,123840
1432059060,C8,20155517095500-40,4,2,183360
1432088400,C8,20153514093535-484,3,1,475260
1432134420,C8,20153620073655-119,4,1,282240
1432160220,C8,20154620024622-348,5,2,447060
1432213980,C8,20150621060618-266,6,3,221640
1432224900,C8,20150821090834-726,7,2,273540
1432225980,C8,20151121091142-55,8,2,268740
1432226220,C8,20154321084329-326,9,3,193140
1432315920,C8,20154822094857-448,10,2,1160220
1432322400,C8,20153622113653-407,11,1,249720
1432329420,C8,20155422015444-143,12,2,82920
1432333380,C8,20155222025248-836,13,1,423540
1432349220,C8,20155417065430-542,12,3,123180
1432412340,C8,20155422015444-143,11,1,176940
1432415280,C8,20150123020103-717,12,2,526320
1432416300,C8,20152411112403-168,11,2,74940
1432416660,C8,20153620073655-119,10,1,282240
1432419360,C8,20154321084329-326,9,2,447060
1432435620,C8,20150621060618-266,8,3,221640
1432480380,C8,20150624080656-470,9,1,864420
1432494720,C8,20151121091142-55,8,2,273540
1432498440,C8,20150821090834-726,7,2,268740
1432507020,C8,20151324031316-217,8,1,100440
1432572120,C8,20153622113653-407,7,3,193140
1432607280,C8,20154620024622-348,6,2,1160220
1432607460,C8,20151324031316-217,5,1,249720
1432655220,C8,20154026084019-504,6,1,256320
1432658340,C8,20154926084915-416,7,2,467460
1432742580,C8,20153927083939-140,8,1,100560
1432750860,C8,20155227105245-707,9,2,114300
1432756740,C8,20153906013912-384,8,2,82920
1432756920,C8,20155222025248-836,7,1,423540
1432757760,C8,20151627121622-355,8,1,110100
1432842000,C8,20151328121327-774,9,1,115680
1432843140,C8,20153927083939-140,8,2,526320
1432865160,C8,20155227105245-707,7,1,864420
1432867860,C8,20151627121622-355,6,1,100440
1432911540,C8,20154026084019-504,5,1,256320
1432923060,C8,20152729102731-508,6,1,274380
1432941600,C8,20150123020103-717,5,2,467460
1432957680,C8,20151328121327-774,4,1,100560
1433027940,C8,20152930032938-338,5,1,243660
1433100780,C8,20153031113006-452,6,1,90600
1433120340,C8,20150231050204-372,7,2,357540
1433125800,C8,20154926084915-416,6,2,114300
1433171400,C8,20151201071206-107,7,3,221160
1433176620,C8,20155301085317-34,8,1,189720
1433179800,C8,20153601093619-939,9,1,245280
1433191020,C8,20151401011424-950,10,1,259380
1433191380,C8,20153031113006-452,9,1,110100
1433197440,C8,20152729102731-508,8,1,115680
1433199780,C8,20152901032906-564,9,1,54180
1433253960,C8,20152901032906-564,8,1,274380
1433256540,C8,20155802065857-168,9,2,201840
1433261700,C8,20154602084650-633,10,1,597000
1433270820,C8,20154102114109-572,11,2,165480
1433271360,C8,20153002113049-336,12,2,107400
1433271600,C8,20152930032938-338,11,1,243660
1433271660,C8,20151302111323-649,12,2,106680
1433286600,C8,20151602031658-446,13,3,154140
1433339880,C8,20150203060210-288,14,1,439320
1433344800,C8,20150624080656-470,13,1,90600
1433344980,C8,20151503071547-841,14,1,84600
1433355120,C8,20151403101418-295,15,2,380640
1433363100,C8,20155203125254-748,16,3,146700
1433366340,C8,20155301085317-34,15,2,357540
1433378340,C8,20151302111323-649,14,3,221160
1433378760,C8,20153002113049-336,13,1,189720
1433392560,C8,20151201071206-107,12,1,245280
1433424060,C8,20150104060101-478,13,2,225720
1433425080,C8,20153601093619-939,12,1,259380
1433429580,C8,20151503071547-841,11,1,54180
1433430900,C8,20154404074423-76,12,1,257700
1433431920,C8,20154704074710-516,13,2,619140
1433436300,C8,20154102114109-572,12,2,201840
1433438340,C8,20152004092005-697,13,2,189360
1433440740,C8,20151602031658-446,12,1,597000
1433449020,C8,20155004125004-492,13,1,83040
1433450400,C8,20151401011424-950,12,2,165480
1433458380,C8,20155802065857-168,11,2,107400
1433458980,C8,20152904032905-433,12,1,503280
1433459040,C8,20151604031616-721,13,3,337560
1433476140,C8,20154822094857-448,12,2,106680
1433477880,C8,20150231050204-372,11,3,154140
1433509800,C8,20155203125254-748,10,1,439320
1433514360,C8,20150205070257-697,11,2,105420
1433514660,C8,20154405064401-508,12,2,127080
1433515560,C8,20152005072047-527,13,2,628260
1433523900,C8,20153005093039-50,14,1,180960
1433524680,C8,20152005092056-151,15,2,554220
1433526540,C8,20152805102823-890,16,1,95580
1433532060,C8,20155004125004-492,15,1,84600
1433541000,C8,20152305022313-514,16,1,525000
1433547960,C8,20151305041331-383,17,1,684960
1433619060,C8,20153706113731-583,18,3,497340
1433619420,C8,20151106121113-182,19,2,364920
1433619780,C8,20150205070257-697,18,2,380640
1433621520,C8,20153706123730-475,19,2,1219800
1433622120,C8,20152805102823-890,18,3,146700
1433627700,C8,20152004092005-697,17,2,225720
1433637360,C8,20153906043929-561,18,1,408900
1433641740,C8,20154405064401-508,17,1,257700
1433649780,C8,20150104060101-478,16,2,619140
1433688420,C8,20152107072157-137,17,1,344340
1433688600,C8,20154404074423-76,16,2,189360
1433692620,C8,20150907080945-381,17,1,364140
1433704860,C8,20153005093039-50,16,1,83040
1433708940,C8,20153307123351-488,17,1,158520
1433713200,C8,20153307023326-161,18,2,1028520
1433723820,C8,20150807050820-790,19,1,883140
1433735760,C8,20151403101418-295,18,1,503280
1433779200,C8,20150203060210-288,17,3,337560
1433779800,C8,20153808083849-175,18,1,394200
1433783640,C8,20150808100805-344,19,1,131640
1433787480,C8,20152908102913-779,20,1,212700
1433794560,C8,20155208125234-73,21,2,265440
1433796600,C8,20151604031616-721,20,2,105420
1433798100,C8,20150808020840-877,21,1,201240
1433858160,C8,20150209060231-719,22,1,1319940
1433858700,C8,20154602084650-633,21,2,127080
1433860500,C8,20151309071349-323,22,1,87300
1433867460,C8,20153307123351-488,21,2,628260
1433871600,C8,20154009094029-596,22,2,342000
1433915280,C8,20150808100805-344,21,1,180960
1433947800,C8,20151309071349-323,20,2,554220
1433948640,C8,20153310073327-373,21,2,1434360
1433949600,C8,20154810074844-679,22,2,136740
1433962260,C8,20152904032905-433,21,1,95580
1433962260,C8,20154310114354-581,22,1,114300
1433968620,C8,20150710010709-698,23,1,67020
1433974080,C8,20150510020551-789,24,3,191820
1433984340,C8,20151106121113-182,23,1,525000
1433999340,C8,20150808020840-877,22,1,684960
1434000180,C8,20152908102913-779,21,3,497340
1434032760,C8,20152107072157-137,20,2,364920
1434035640,C8,20150710010709-698,19,2,1219800
1434039600,C8,20151411091404-225,20,1,459360
1434046260,C8,20153906043929-561,19,1,408900
1434051060,C8,20154704074710-516,18,1,344340
1434054660,C8,20151011011032-480,19,2,243780
1434056760,C8,20150907080945-381,18,1,364140
1434060000,C8,20155208125234-73,17,1,158520
1434066000,C8,20152305022313-514,16,2,1028520
1434069960,C8,20151811051833-890,17,2,55020
1434076560,C8,20154310114354-581,16,1,883140
1434078900,C8,20152005092056-151,15,1,394200
1434086340,C8,20154810074844-679,14,1,131640
1434116400,C8,20153706113731-583,13,1,212700
1434122820,C8,20155612075623-190,14,1,104820
1434124980,C8,20151811051833-890,13,2,265440
1434127500,C8,20154112084109-806,14,1,303540
1434132900,C8,20154212104244-750,15,1,290340
1434141600,C8,20151212011241-763,16,3,328020
1434143820,C8,20152005072047-527,15,1,201240
1434144600,C8,20150312020332-263,16,1,192120
1434153660,C8,20155412045446-0,17,1,269460
1434156660,C8,20154512054518-584,18,2,445080
1434157140,C8,20150112050156-642,19,1,186900
1434160140,C8,20155212055238-204,20,1,140460
1434165900,C8,20150510020551-789,19,1,1319940
1434174000,C8,20153808083849-175,18,1,87300
1434203880,C8,20153213063205-982,19,1,110700
1434205680,C8,20150613070629-561,20,2,257340
1434205920,C8,20154713064720-448,21,3,221040
1434208140,C8,20150313080324-835,22,1,906720
1434208320,C8,20152113072113-341,23,2,195420
1434213600,C8,20154009094029-596,22,2,342000
1434216240,C8,20151813101843-73,23,1,78780
1434217140,C8,20151913091934-158,24,1,383640
1434227640,C8,20155612075623-190,23,2,1434360
1434230400,C8,20154713014720-385,24,1,170100
1434231300,C8,20152913022938-375,25,3,175380
1434232800,C8,20150013020033-816,26,1,278700
1434232920,C8,20151305041331-383,25,2,136740
1434234360,C8,20150513030530-407,26,2,82140
1434242400,C8,20154213044221-384,27,1,67020
1434242520,C8,20153813043802-884,28,2,230760
1434292500,C8,20151414071412-997,29,1,371460
1434293220,C8,20152514072525-135,30,1,879000
1434295020,C8,20151813101843-73,29,1,114300
1434298440,C8,20151011011032-480,28,1,67020
1434299820,C8,20150914090940-696,29,1,115740
1434300600,C8,20155212055238-204,28,3,191820
1434304560,C8,20155914095952-732,29,2,277380
1434309420,C8,20154213044221-384,28,1,459360
1434314520,C8,20154914124917-488,29,1,93720
1434314580,C8,20153213063205-982,28,2,243780
1434316500,C8,20150513030530-407,27,2,55020
1434321180,C8,20152614032608-515,28,3,139980
1434322080,C8,20153814023849-856,29,1,164760
1434336720,C8,20150312020332-263,28,1,104820
1434344040,C8,20150112050156-642,27,1,303540
