"","car.id","car.type","startDatetime","startTimestamp","gate.name","duration","endTimestamp","endDatetime"
"6384","20155101065139-549",1,"2015-05-01 07:59:00",1430492340,"C0",83460,1430575800,"2015-05-02 07:10:00"
"4751","20153601073650-751",3,"2015-05-01 08:37:00",1430494620,"C2",357420,1430852040,"2015-05-05 11:54:00"
"5307","20153601093644-33",1,"2015-05-01 10:10:00",1430500200,"C3",115320,1430615520,"2015-05-02 18:12:00"
"2357","20155201095259-137",1,"2015-05-01 10:19:00",1430500740,"C8",302820,1430803560,"2015-05-04 22:26:00"
"1990","20155701105733-580",1,"2015-05-01 11:23:00",1430504580,"C5",346500,1430851080,"2015-05-05 11:38:00"
"1987","20154401104416-538",3,"2015-05-01 11:46:00",1430505960,"C2",67680,1430573640,"2015-05-02 06:34:00"
"2732","20155801105820-248",2,"2015-05-01 11:58:00",1430506680,"C5",151500,1430658180,"2015-05-03 06:03:00"
"763","20154001044056-714",3,"2015-05-01 17:44:00",1430527440,"C0",249300,1430776740,"2015-05-04 14:59:00"
"3426","20155401045441-227",2,"2015-05-01 18:06:00",1430528760,"C3",63240,1430592000,"2015-05-02 11:40:00"
"5785","20152102062100-389",2,"2015-05-02 07:34:00",1430577240,"C7",364500,1430941740,"2015-05-06 12:49:00"
"4270","20154002074031-133",1,"2015-05-02 08:36:00",1430580960,"C6",199200,1430780160,"2015-05-04 15:56:00"
"5526","20154702084758-168",1,"2015-05-02 09:10:00",1430583000,"C5",478380,1431061380,"2015-05-07 22:03:00"
"4157","20151902111913-640",3,"2015-05-02 12:09:00",1430593740,"C8",602400,1431196140,"2015-05-09 11:29:00"
"6090","20153002013028-298",3,"2015-05-02 13:57:00",1430600220,"C4",75600,1430675820,"2015-05-03 10:57:00"
"6144","20152602012639-340",3,"2015-05-02 14:09:00",1430600940,"C0",372420,1430973360,"2015-05-06 21:36:00"
"3964","20151202021230-956",2,"2015-05-02 14:41:00",1430602860,"C4",445140,1431048000,"2015-05-07 18:20:00"
"2292","20153602023647-120",2,"2015-05-02 15:43:00",1430606580,"C3",174240,1430780820,"2015-05-04 16:07:00"
"4698","20152002042015-193",3,"2015-05-02 16:43:00",1430610180,"C8",78780,1430688960,"2015-05-03 14:36:00"
"1438","20151903071934-939",1,"2015-05-03 07:30:00",1430663400,"C3",782160,1431445560,"2015-05-12 08:46:00"
"5242","20153603073614-148",1,"2015-05-03 07:56:00",1430664960,"C5",257820,1430922780,"2015-05-06 07:33:00"
"926","20154003074050-280",1,"2015-05-03 08:51:00",1430668260,"C0",944700,1431612960,"2015-05-14 07:16:00"
"1431","20151503091545-22",1,"2015-05-03 09:22:00",1430670120,"C8",679860,1431349980,"2015-05-11 06:13:00"
"1161","20150703110736-237",1,"2015-05-03 11:34:00",1430678040,"C5",241920,1430919960,"2015-05-06 06:46:00"
"3135","20155803105858-900",2,"2015-05-03 11:37:00",1430678220,"C2",201540,1430879760,"2015-05-05 19:36:00"
"4921","20153003023054-91",3,"2015-05-03 15:38:00",1430692680,"C0",83580,1430776260,"2015-05-04 14:51:00"
"6332","20153203033255-977",1,"2015-05-03 15:55:00",1430693700,"C4",190680,1430884380,"2015-05-05 20:53:00"
"5427","20153203033246-681",1,"2015-05-03 16:14:00",1430694840,"C0",75240,1430770080,"2015-05-04 13:08:00"
"3404","20155103035116-592",1,"2015-05-03 16:19:00",1430695140,"C4",970200,1431665340,"2015-05-14 21:49:00"
"2724","20155003035017-260",1,"2015-05-03 16:22:00",1430695320,"C5",91920,1430787240,"2015-05-04 17:54:00"
"6037","20152503032527-873",1,"2015-05-03 16:32:00",1430695920,"C0",240540,1430936460,"2015-05-06 11:21:00"
"107","20155403055431-257",3,"2015-05-03 18:43:00",1430703780,"C7",74400,1430778180,"2015-05-04 15:23:00"
"3469","20153604113610-711",3,"2015-05-04 12:36:00",1430768160,"C8",589140,1431357300,"2015-05-11 08:15:00"
"960","20151604011635-266",2,"2015-05-04 14:16:00",1430774160,"C3",362100,1431136260,"2015-05-08 18:51:00"
"742","20150204020258-450",2,"2015-05-04 15:08:00",1430777280,"C8",363720,1431141000,"2015-05-08 20:10:00"
"1687","20155604035654-479",2,"2015-05-04 16:59:00",1430783940,"C2",153000,1430936940,"2015-05-06 11:29:00"
"6124","20150104050128-43",2,"2015-05-04 17:16:00",1430784960,"C0",601920,1431386880,"2015-05-11 16:28:00"
"2166","20151805061831-133",1,"2015-05-05 07:36:00",1430836560,"C0",567480,1431404040,"2015-05-11 21:14:00"
